areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-03-20,91977,2228772
overview,United Kingdom,K02000001,2021-03-19,125725,2136795
overview,United Kingdom,K02000001,2021-03-18,132016,2011070
overview,United Kingdom,K02000001,2021-03-17,119609,1879054
overview,United Kingdom,K02000001,2021-03-16,95799,1759445
overview,United Kingdom,K02000001,2021-03-15,53366,1663646
overview,United Kingdom,K02000001,2021-03-14,25371,1610280
overview,United Kingdom,K02000001,2021-03-13,52155,1584909
overview,United Kingdom,K02000001,2021-03-12,87676,1532754
overview,United Kingdom,K02000001,2021-03-11,93563,1445078
overview,United Kingdom,K02000001,2021-03-10,97162,1351515
overview,United Kingdom,K02000001,2021-03-09,72922,1254353
overview,United Kingdom,K02000001,2021-03-08,38788,1181431
overview,United Kingdom,K02000001,2021-03-07,20241,1142643
overview,United Kingdom,K02000001,2021-03-06,31562,1122402
overview,United Kingdom,K02000001,2021-03-05,56772,1090840
overview,United Kingdom,K02000001,2021-03-04,70206,1034068
overview,United Kingdom,K02000001,2021-03-03,68450,963862
overview,United Kingdom,K02000001,2021-03-02,51314,895412
overview,United Kingdom,K02000001,2021-03-01,28282,844098
overview,United Kingdom,K02000001,2021-02-28,19684,815816
overview,United Kingdom,K02000001,2021-02-27,27322,796132
overview,United Kingdom,K02000001,2021-02-26,32773,768810
overview,United Kingdom,K02000001,2021-02-25,35319,736037
overview,United Kingdom,K02000001,2021-02-24,31613,700718
overview,United Kingdom,K02000001,2021-02-23,26317,669105
overview,United Kingdom,K02000001,2021-02-22,18463,642788
overview,United Kingdom,K02000001,2021-02-21,9177,624325
overview,United Kingdom,K02000001,2021-02-20,10263,615148
overview,United Kingdom,K02000001,2021-02-19,15294,604885
overview,United Kingdom,K02000001,2021-02-18,15867,589591
overview,United Kingdom,K02000001,2021-02-17,15147,573724
overview,United Kingdom,K02000001,2021-02-16,12412,558577
overview,United Kingdom,K02000001,2021-02-15,6535,546165
overview,United Kingdom,K02000001,2021-02-14,1915,539630
overview,United Kingdom,K02000001,2021-02-13,2846,537715
overview,United Kingdom,K02000001,2021-02-12,4775,534869
overview,United Kingdom,K02000001,2021-02-11,5647,530094
overview,United Kingdom,K02000001,2021-02-10,4894,524447
overview,United Kingdom,K02000001,2021-02-09,3161,519553
overview,United Kingdom,K02000001,2021-02-08,3811,516392
overview,United Kingdom,K02000001,2021-02-07,862,512581
overview,United Kingdom,K02000001,2021-02-06,1662,511719
overview,United Kingdom,K02000001,2021-02-05,4064,510057
overview,United Kingdom,K02000001,2021-02-04,4036,505993
overview,United Kingdom,K02000001,2021-02-03,2995,501957
overview,United Kingdom,K02000001,2021-02-02,2166,498962
overview,United Kingdom,K02000001,2021-02-01,2587,496796
overview,United Kingdom,K02000001,2021-01-31,3156,494209
overview,United Kingdom,K02000001,2021-01-30,10621,491053
overview,United Kingdom,K02000001,2021-01-29,2178,480432
overview,United Kingdom,K02000001,2021-01-28,1769,478254
overview,United Kingdom,K02000001,2021-01-27,2329,476485
overview,United Kingdom,K02000001,2021-01-26,1710,474156
overview,United Kingdom,K02000001,2021-01-25,1968,472446
overview,United Kingdom,K02000001,2021-01-24,818,470478
overview,United Kingdom,K02000001,2021-01-23,1043,469660
overview,United Kingdom,K02000001,2021-01-22,1821,468617
overview,United Kingdom,K02000001,2021-01-21,2760,466796
overview,United Kingdom,K02000001,2021-01-20,3411,464036
overview,United Kingdom,K02000001,2021-01-19,3759,460625
overview,United Kingdom,K02000001,2021-01-18,4565,456866
overview,United Kingdom,K02000001,2021-01-17,2239,452301
overview,United Kingdom,K02000001,2021-01-16,2620,450062
overview,United Kingdom,K02000001,2021-01-15,4208,447442
overview,United Kingdom,K02000001,2021-01-14,5257,443234
overview,United Kingdom,K02000001,2021-01-13,9745,437977
overview,United Kingdom,K02000001,2021-01-12,16065,428232
overview,United Kingdom,K02000001,2021-01-11,20768,412167
overview,United Kingdom,K02000001,2021-01-10,,391399
